12.11.2007 ; 12:29:52 CET
titre;troupe;date;salle;nb libres;nb reserves;nb vendu;encaisse
VAMPYR;Stuffed Puppet Theater;Fri Nov 02 20:30:00 CET 2007;Théâtre du passage - grande salle;500;0;0;0.0;
VAMPYR;Stuffed Puppet Theater;Sat Nov 03 20:30:00 CET 2007;Théâtre du passage - grande salle;500;0;0;0.0;
LA COUR DES PETITS;Les Marionnettes de Genève;Fri Nov 02 19:00:00 CET 2007;Théâtre du Pommier;90;0;0;0.0;
LA COUR DES PETITS;Les Marionnettes de Genève;Sat Nov 03 22:00:00 CET 2007;Théâtre du Pommier;90;0;0;0.0;
LE MONDE, POINT A LA LIGNE;Cie "Pour Ainsi Dire";Sat Nov 03 15:00:00 CET 2007;Théâtre du Concert;120;0;0;0.0;
LE MONDE, POINT A LA LIGNE;Cie "Pour Ainsi Dire";Sun Nov 04 17:00:00 CET 2007;Théâtre du Concert;120;0;0;0.0;
L'HIVER, QUATRE CHIENS MORDENT...;Cie "Pour Ainsi Dire";Sat Nov 03 17:00:00 CET 2007;Théatre de la Poudrière;90;0;0;0.0;
MACHINES INTERACTIVES;Cod.Act;Sat Nov 03 14:00:00 CET 2007;CAN (Centre d'Art Contemporain);50;0;0;0.0;
MACHINES INTERACTIVES;Cod.Act;Sun Nov 04 14:00:00 CET 2007;CAN (Centre d'Art Contemporain);50;0;0;0.0;
MACHINES INTERACTIVES;Cod.Act;Wed Nov 07 16:00:00 CET 2007;CAN (Centre d'Art Contemporain);50;0;0;0.0;
MACHINES INTERACTIVES;Cod.Act;Thu Nov 08 16:00:00 CET 2007;CAN (Centre d'Art Contemporain);50;0;0;0.0;
MACHINES INTERACTIVES;Cod.Act;Fri Nov 09 16:00:00 CET 2007;CAN (Centre d'Art Contemporain);50;0;0;0.0;
MACHINES INTERACTIVES;Cod.Act;Sat Nov 10 14:00:00 CET 2007;CAN (Centre d'Art Contemporain);50;0;0;0.0;
L'ANTHOLOGIE DU THEATRE D'OBJET;Théatre de Cuisine;Sat Nov 03 19:00:00 CET 2007;Temple Allemand;80;0;0;0.0;
L'ANTHOLOGIE DU THEATRE D'OBJET;Théatre de Cuisine;Sun Nov 04 17:00:00 CET 2007;Temple Allemand;80;0;0;0.0;
CHAIR DE MA CHAIR;Théatre Meschugge;Sat Nov 03 20:30:00 CET 2007;L'Heure Bleue;60;0;0;0.0;
JUMPING MOUSE;Theater Ozelot;Sat Nov 03 15:00:00 CET 2007;La Tarentule - Saint-Aubin;60;0;0;0.0;
JUMPING MOUSE;Theater Ozelot;Sun Nov 04 14:00:00 CET 2007;Centre de Culture ABC;50;0;0;0.0;
JUMPING MOUSE;Theater Ozelot;Sun Nov 04 16:00:00 CET 2007;Centre de Culture ABC;50;0;0;0.0;
MAKE UP OPERA;OKT Theatre;Sun Nov 04 20:30:00 CET 2007;Beau-Site / Théâtre Populaire Romand;100;0;0;0.0;
GEORGES DANS LE GARAGE;Materialtheater;Sun Nov 04 15:00:00 CET 2007;Théatre Casino - Le Locle;60;0;0;0.0;
LA POPULACE VILLAGEOISE...;Théatre de la Poudrière;Mon Nov 05 20:30:00 CET 2007;Théatre de la Poudrière;82;0;0;0.0;
